;Precio;Tasa de hurto;Fecha de entrega;Plazo pago cuota inicial;Piscina;Gimnasio;Salón social;Tamaño;Parqueadero;Cuarto útil
Precio;1;3;6;4;7;7;8;2;3;9
Tasa de hurto;0.3333;1;6;5;8;8;9;0.5;2;9
Fecha de entrega;0.1667;0.1667;1;0.5000;8;8;9;0.1667;2;9
Plazo pago cuota inicial;0.2500;0.5000;2;1;8;8;9;0.2000;4;9
Piscina;0.1429;0.1250;0.125;0.1250;1;0.5;0.5;0.1250;0.125;0.333333333
Gimnasio;0.1429;0.1250;0.125;0.1250;2;1;0.5;0.1667;0.125;3
Salón social;0.1250;0.1111;0.111111111;0.1111;2;2;1;0.1111;0.111111111;5
Tamaño;0.5;2;6;5;8;6;9;1;3;9
Parqueadero;0.3333;0.5000;0.5;0.2500;8;8;9;0.3333;1;9
Cuarto útil;0.1111;0.1111;0.111111111;0.111111111;3;0.333333333;0.2;0.1111;0.111111111;1

